id,fence_id,status,message_time,image
538,11,open,2025-03-28 19:10:18,/static/images/open.png
539,13,open,2025-03-28 19:12:40,/static/images/open.png
540,9,closed,2025-03-28 19:13:46,/static/images/closed.png
541,2,open,2025-03-28 19:21:32,/static/images/open.png
542,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
543,24,open,2025-03-28 18:43:17,/static/images/open.png
544,1,closed,2025-03-28 18:45:42,/static/images/closed.png
545,3,closed,2025-03-28 18:54:04,/static/images/closed.png
546,14,open,2025-03-28 18:55:23,/static/images/open.png
547,12,open,2025-03-28 19:00:13,/static/images/open.png
548,1,closed,2025-03-28 19:00:23,/static/images/closed.png
549,7,open,2025-03-28 19:01:01,/static/images/open.png
550,11,open,2025-03-28 19:10:18,/static/images/open.png
551,13,open,2025-03-28 19:12:40,/static/images/open.png
552,9,closed,2025-03-28 19:13:46,/static/images/closed.png
553,2,open,2025-03-28 19:21:32,/static/images/open.png
554,14,sever_traffic_jam,2025-03-28 18:34:56,/static/images/traffic.png
555,24,open,2025-03-28 18:43:17,/static/images/open.png
556,1,closed,2025-03-28 18:45:42,/static/images/closed.png
557,3,closed,2025-03-28 18:54:04,/static/images/closed.png
558,14,open,2025-03-28 18:55:23,/static/images/open.png
559,12,open,2025-03-28 19:00:13,/static/images/open.png
560,1,closed,2025-03-28 19:00:23,/static/images/closed.png
561,7,open,2025-03-28 19:01:01,/static/images/open.png
562,11,open,2025-03-28 19:10:18,/static/images/open.png
563,13,open,2025-03-28 19:12:40,/static/images/open.png
564,9,closed,2025-03-28 19:13:46,/static/images/closed.png
565,2,open,2025-03-28 19:21:32,/static/images/open.png
566,24,open,2025-03-28 18:43:17,/static/images/open.png
567,1,closed,2025-03-28 18:45:42,/static/images/closed.png
568,3,closed,2025-03-28 18:54:04,/static/images/closed.png
569,14,open,2025-03-28 18:55:23,/static/images/open.png
570,12,open,2025-03-28 19:00:13,/static/images/open.png
571,1,closed,2025-03-28 19:00:23,/static/images/closed.png
572,7,open,2025-03-28 19:01:01,/static/images/open.png
573,11,open,2025-03-28 19:10:18,/static/images/open.png
574,13,open,2025-03-28 19:12:40,/static/images/open.png
575,9,closed,2025-03-28 19:13:46,/static/images/closed.png
576,2,open,2025-03-28 19:21:32,/static/images/open.png
577,7,closed,2025-03-28 19:32:17,/static/images/closed.png
578,24,open,2025-03-28 18:43:17,/static/images/open.png
579,1,closed,2025-03-28 18:45:42,/static/images/closed.png
580,3,closed,2025-03-28 18:54:04,/static/images/closed.png
581,14,open,2025-03-28 18:55:23,/static/images/open.png
582,12,open,2025-03-28 19:00:13,/static/images/open.png
583,1,closed,2025-03-28 19:00:23,/static/images/closed.png
584,7,open,2025-03-28 19:01:01,/static/images/open.png
585,11,open,2025-03-28 19:10:18,/static/images/open.png
586,13,open,2025-03-28 19:12:40,/static/images/open.png
587,9,closed,2025-03-28 19:13:46,/static/images/closed.png
588,2,open,2025-03-28 19:21:32,/static/images/open.png
589,7,closed,2025-03-28 19:32:17,/static/images/closed.png
590,7,closed,2025-03-28 19:40:35,/static/images/closed.png
591,24,open,2025-03-28 18:43:17,/static/images/open.png
592,1,closed,2025-03-28 18:45:42,/static/images/closed.png
593,3,closed,2025-03-28 18:54:04,/static/images/closed.png
594,14,open,2025-03-28 18:55:23,/static/images/open.png
595,12,open,2025-03-28 19:00:13,/static/images/open.png
596,1,closed,2025-03-28 19:00:23,/static/images/closed.png
597,7,open,2025-03-28 19:01:01,/static/images/open.png
598,11,open,2025-03-28 19:10:18,/static/images/open.png
599,13,open,2025-03-28 19:12:40,/static/images/open.png
600,9,closed,2025-03-28 19:13:46,/static/images/closed.png
601,2,open,2025-03-28 19:21:32,/static/images/open.png
602,7,closed,2025-03-28 19:32:17,/static/images/closed.png
603,7,closed,2025-03-28 19:40:35,/static/images/closed.png
604,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
605,3,closed,2025-03-28 18:54:04,/static/images/closed.png
606,14,open,2025-03-28 18:55:23,/static/images/open.png
607,12,open,2025-03-28 19:00:13,/static/images/open.png
608,1,closed,2025-03-28 19:00:23,/static/images/closed.png
609,7,open,2025-03-28 19:01:01,/static/images/open.png
610,11,open,2025-03-28 19:10:18,/static/images/open.png
611,13,open,2025-03-28 19:12:40,/static/images/open.png
612,9,closed,2025-03-28 19:13:46,/static/images/closed.png
613,2,open,2025-03-28 19:21:32,/static/images/open.png
614,7,closed,2025-03-28 19:32:17,/static/images/closed.png
615,7,closed,2025-03-28 19:40:35,/static/images/closed.png
616,7,sever_traffic_jam,2025-03-28 19:40:41,/static/images/traffic.png
617,2,closed,2025-03-28 19:42:41,/static/images/closed.png
618,25,closed,2025-03-28 19:44:09,/static/images/closed.png
619,23,closed,2025-03-28 19:44:09,/static/images/closed.png
620,3,closed,2025-03-28 18:54:04,/static/images/closed.png
621,14,open,2025-03-28 18:55:23,/static/images/open.png
622,12,open,2025-03-28 19:00:13,/static/images/open.png
623,1,closed,2025-03-28 19:00:23,/static/images/closed.png
624,7,open,2025-03-28 19:01:01,/static/images/open.png
625,11,open,2025-03-28 19:10:18,/static/images/open.png
626,13,open,2025-03-28 19:12:40,/static/images/open.png
627,9,closed,2025-03-28 19:13:46,/static/images/closed.png
628,2,open,2025-03-28 19:21:32,/static/images/open.png
629,7,closed,2025-03-28 19:32:17,/static/images/closed.png
630,7,closed,2025-03-28 19:40:35,/static/images/closed.png
